Domain:,Live Test 1,,,,,,,,
Location:,Lekki,,,,,,,,
Date Filtered:,22/08/2023 00:00 - 22/08/2024 23:59,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Id,Workgroup,Created,Channel,Contact,ReportingFilters,Cost,Tax,Total,Status
297,Point of Sale,07/11/2023,POS,,Sales,"28,500.00","28,500.00","28,500.00",Approved
296,Point of Sale,03/11/2023,POS,,Sales,"7,676.00","7,676.00","7,676.00",Approved
295,Point of Sale,16/10/2023,POS,,Sales,"21,000.00","21,000.00","21,000.00",Approved
294,Point of Sale,16/10/2023,POS,,Sales,"28,500.00","28,500.00","28,500.00",Approved
292,Point of Sale,13/10/2023,POS,,Sales,"10,500.00","10,500.00","10,500.00",Approved
290,Point of Sale,13/10/2023,POS,,Sales,"5,700.00","5,700.00","5,700.00",Approved
293,Point of Sale,13/10/2023,POS,,Sales,"13,200.00","13,200.00","13,200.00",Approved
291,Point of Sale,13/10/2023,POS,,Sales,"10,500.00","10,500.00","10,500.00",Approved
289,Point of Sale,30/08/2023,POS,,Sales,338.00,338.00,338.00,Approved
288,Point of Sale,30/08/2023,POS,,Sales,338.00,338.00,338.00,Approved
287,Point of Sale,22/08/2023,POS,,Sales,"7,000.00","7,000.00","7,000.00",Approved
