DateTime,TillAccount,SafeInOut,Amount,Balance,Difference,Status
14/11/2023 11:27,Till 1,Lekki 1,1000.00,3481862.00,0,Approved
18/08/2022 08:34,GTB Collection Account,Lekki 1,200000.00,3482862.00,0,Approved
03/05/2022 08:30,Till 1,Lekki 1,1000.00,3682862.00,0,Approved
27/04/2022 15:22,Till 1,Lekki 1,1000.00,3683862.00,0,Approved
27/04/2022 15:22,Till 1,Lekki 1,10000.00,3684862.00,0,Approved
27/04/2022 15:14,Till 1,Lekki 1,1000.00,3694862.00,0,Approved
27/04/2022 15:12,Till 1,Lekki 1,10000.00,3693862.00,0,Approved
26/04/2022 12:40,Till 1,Lekki 1,303000.00,3703862.00,0,Approved
26/04/2022 12:39,Till 1,Lekki 1,20000.00,3400862.00,0,Discarded
26/04/2022 12:32,Till 1,Lekki 1,1000.00,3400862.00,0,Approved
26/04/2022 12:31,Till 1,Lekki 1,2000.00,3401862.00,0,Approved
26/04/2022 12:31,Till 1,Lekki 1,200000.00,3403862.00,0,Approved
26/04/2022 12:19,Till 1,Lekki 1,100000.00,3603862.00,0,Approved
26/04/2022 12:10,Till 1,Lekki 1,11000.00,3703862.00,0,Approved
26/04/2022 12:09,Till 1,Lekki 1,11000.00,3714862.00,0,Discarded
26/04/2022 11:49,Till 1,Lekki 1,5699862.00,3714862.00,0,Approved
26/04/2022 11:48,Till 1,Lekki 1,11000.00,-1985000.00,0,Approved
26/04/2022 11:47,Till 1,Lekki 1,10000.00,-1996000.00,0,Denied
26/04/2022 11:38,Till 1,Lekki 1,1000000.00,-1996000.00,0,Approved
26/04/2022 11:04,Till 1,Lekki 1,1000000.00,-996000.00,0,Approved
13/12/2021 19:14,Till 1,Lekki 1,10000.00,4000.00,0,Approved
13/12/2021 19:12,Till 1,Lekki 1,10000.00,14000.00,0,Approved
11/02/2021 11:38,GTB Collection Account,Lekki 1,10725.00,4000.00,0,Approved
11/02/2021 11:34,Till 1,Lekki 1,1100.00,14725.00,0,Discarded
11/02/2021 11:25,Till 1,Lekki 1,14725.00,14725.00,0,Approved
11/02/2021 10:56,GTB Collection Account,Lekki 1,13825.00,0.00,0,Approved
11/02/2021 10:55,,,13825.00,13825.00,0.00,
11/02/2021 10:45,,,0.00,13825.00,-13825.00,
11/02/2021 10:29,Till 1,Lekki 1,100.00,13825.00,0,Approved
11/02/2021 10:27,Till 1,Lekki 1,7725.00,13725.00,0,Approved
09/02/2021 12:21,,,6000.00,6000.00,0.00,
09/02/2021 12:21,,,2000.00,6000.00,-4000.00,
09/02/2021 11:12,,,4000.00,6000.00,-2000.00,
09/02/2021 11:11,,,1000.00,6000.00,-5000.00,
09/02/2021 10:17,Till 1,Lekki 1,6000.00,6000.00,0,Approved
09/10/2020 10:58,FCMB Collection ,Lekki 1,10000.00,0,0,Awaiting Review
